"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2002","Michael Cuddyer","Twins","41","123","4","12","13","2","6.5 %","24.4 %",".170",".316",".259",".311",".429",".322","93","1.9","0.9","-1.6","0.3","1534"
"2001","Dave Martinez","Braves","120","259","2","33","20","3","8.1 %","17.0 %",".097",".346",".287",".347",".384",".324","94","-0.7","-2.6","-2.4","0.3","1008160"
"2008","Geoff Jenkins","Phillies","115","322","9","27","29","1","7.5 %","21.1 %",".147",".286",".246",".301",".392",".299","75","0.3","-9.7","2.8","0.3","690"
"2005","Yorvit Torrealba","- - -","76","224","3","32","15","1","7.1 %","22.3 %",".104",".297",".234",".297",".338",".282","70","0.9","-7.5","3.5","0.3","1135"
"2002","Jeff Conine","Orioles","116","488","15","44","63","8","5.1 %","13.5 %",".175",".284",".273",".307",".448",".319","95","-0.3","-3.0","-10.0","0.3","131"
"2006","Chris Young","Diamondbacks","30","78","2","10","10","2","7.7 %","15.4 %",".143",".263",".243",".308",".386",".304","73","0.6","-2.1","3.1","0.3","3882"
"2002","Mo Vaughn","Mets","139","558","26","67","72","0","10.6 %","26.0 %",".197",".314",".259",".349",".456",".350","115","-5.8","4.8","-19.5","0.3","899"
"2000","Erubiel Durazo","Diamondbacks","67","233","8","35","33","1","14.6 %","18.5 %",".179",".299",".265",".373",".444",".359","106","0.2","2.0","-6.0","0.3","1413"
"2001","Rob Mackowiak","Pirates","83","237","4","30","21","4","6.3 %","21.9 %",".145",".329",".266",".319",".411",".308","82","-0.5","-6.0","1.6","0.3","995"
"2000","Bret Boone","Padres","127","525","19","61","74","8","9.5 %","18.5 %",".171",".274",".251",".326",".421",".322","92","-0.2","-6.2","-7.1","0.3","1067"
"2005","Pete Orr","Braves","112","162","1","32","8","7","3.7 %","14.2 %",".087",".349",".300",".331",".387",".317","91","2.9","1.0","-2.9","0.3","2748"
"2000","Wilson Delgado","- - -","64","141","1","21","11","2","7.8 %","18.4 %",".039",".311",".258",".312",".297",".279","54","0.0","-8.8","6.9","0.3","1150"
"2001","Nomar Garciaparra","Red Sox","21","91","4","13","8","0","7.7 %","9.9 %",".181",".286",".289",".352",".470",".356","116","-0.4","1.4","-1.1","0.3","190"
"2005","David Bell","Phillies","150","617","10","53","61","0","7.6 %","11.2 %",".113",".266",".248",".310",".361",".294","72","-6.3","-28.0","11.2","0.3","1108"
"2002","Jason Phillips","Mets","11","22","1","4","3","0","4.5 %","4.5 %",".158",".333",".368",".409",".526",".401","149","0.0","1.3","1.3","0.3","892"
"2007","Ramon Vazquez","Rangers","104","345","8","42","28","1","8.4 %","20.9 %",".143",".275",".230",".300",".373",".299","74","0.9","-10.4","2.0","0.3","1058"
"2000","Timo Perez","Mets","24","54","1","11","3","1","5.6 %","9.3 %",".184",".295",".286",".333",".469",".344","103","-0.3","0.0","1.7","0.3","891"
"2009","Gary Sheffield","Mets","100","312","10","44","43","2","12.8 %","14.7 %",".175",".299",".276",".372",".451",".360","122","-1.0","7.2","-13.9","0.3","114"
"2000","Chris Clapinski","Marlins","34","55","1","12","7","0","9.1 %","12.7 %",".184",".341",".306",".370",".490",".374","121","0.0","1.6","0.2","0.3","1002257"
"2000","Neifi Perez","Rockies","162","699","10","92","71","3","4.3 %","9.0 %",".140",".301",".287",".314",".427",".316","59","-2.1","-41.2","20.2","0.3","620"
"2000","Kevin Elster","Dodgers","80","259","14","29","32","0","14.7 %","20.1 %",".227",".234",".227",".341",".455",".341","103","0.0","1.1","-5.6","0.3","1003758"
"2002","Jason Lane","Astros","44","80","4","12","10","1","12.5 %","15.0 %",".246",".296",".290",".375",".536",".386","132","0.6","3.8","-3.0","0.3","1397"
"2006","Jason Wood","Marlins","12","14","0","3","1","1","7.1 %","14.3 %",".154",".545",".462",".500",".615",".482","197","1.0","2.8","0.3","0.3","1999"
"2009","Alex Gonzalez","- - -","112","429","8","42","41","2","4.7 %","15.2 %",".118",".264",".238",".279",".355",".276","58","-1.2","-23.2","12.5","0.3","520"
"2001","David Ortiz","Twins","89","347","18","46","48","1","11.5 %","19.6 %",".241",".242",".234",".324",".475",".333","100","0.2","0.3","-8.9","0.3","745"
"2009","Brian Buscher","Twins","61","164","2","14","12","0","14.6 %","21.3 %",".081",".300",".235",".360",".316",".316","89","0.5","-1.7","-0.5","0.3","6234"
"2003","Jason Tyner","Devil Rays","46","102","0","12","6","2","9.8 %","11.8 %",".078",".321",".278",".350",".356",".318","93","0.3","-0.7","0.6","0.3","1232"
"2009","Eric Byrnes","Diamondbacks","84","258","8","26","31","9","4.7 %","11.6 %",".167",".227",".226",".270",".393",".288","65","0.6","-10.4","5.5","0.3","905"
"2003","Jason Lane","Astros","18","27","4","5","10","0","0.0 %","7.4 %",".519",".190",".296",".296",".815",".455","177","0.5","3.2","-0.7","0.3","1397"
"2005","Nomar Garciaparra","Cubs","62","247","9","28","30","0","4.9 %","9.7 %",".170",".280",".283",".320",".452",".333","97","0.7","-0.1","-4.6","0.3","190"
"2006","Mike Jacobs","Marlins","136","520","20","54","77","3","8.7 %","20.2 %",".211",".295",".262",".325",".473",".340","104","-3.3","-0.9","-13.1","0.3","2231"
"2007","Emil Brown","Royals","113","397","6","44","62","12","6.0 %","17.9 %",".090",".298",".257",".300",".347",".285","66","1.8","-15.0","4.7","0.3","1197"
"2005","Glenn Williams","Twins","13","43","0","3","3","1","4.7 %","16.3 %",".025",".515",".425",".452",".450",".402","151","-0.7","2.0","-0.1","0.3","1991"
"2004","Marquis Grissom","Giants","145","606","22","78","90","3","6.1 %","13.7 %",".171",".293",".279",".323",".450",".330","97","-0.7","-2.7","-14.4","0.3","652"
"2005","Alex Gonzalez","Marlins","130","478","5","45","45","5","6.5 %","16.9 %",".103",".313",".264",".319",".368",".296","79","-3.5","-16.3","4.1","0.3","520"
"2003","Mike Restovich","Twins","24","64","0","10","4","0","15.6 %","18.8 %",".132",".366",".283",".406",".415",".369","125","-1.2","0.8","0.4","0.3","751"
"2000","Dan Wilson","Mariners","90","303","5","31","27","1","7.3 %","16.8 %",".101",".271",".235",".291",".336",".281","62","-0.7","-16.4","8.8","0.3","1102"
"2008","Jim Edmonds","- - -","111","401","20","53","55","2","13.7 %","20.4 %",".244",".249",".235",".343",".479",".355","111","-2.4","3.3","-13.0","0.3","1153"
"2000","Brian Hunter","- - -","87","160","8","14","23","0","12.5 %","24.4 %",".207",".237",".214",".313",".421",".320","83","-0.4","-4.1","1.9","0.3","1006197"
"2002","Brandon Larson","Reds","23","58","4","8","13","1","10.3 %","17.2 %",".275",".270",".275",".362",".549",".386","133","-0.6","1.8","-0.4","0.3","336"
"2007","Michael Morse","Mariners","9","20","0","1","3","0","5.0 %","20.0 %",".111",".571",".444",".500",".556",".467","192","0.1","2.4","0.3","0.3","3035"
"2003","Sandy Alomar Jr.","White Sox","75","204","5","22","26","0","2.0 %","8.3 %",".139",".272",".268",".281",".407",".296","75","0.4","-6.1","2.4","0.3","221"
"2000","Mike Redmond","Marlins","87","235","0","17","15","0","5.5 %","8.1 %",".048",".273",".252",".316",".300",".279","60","0.0","-12.7","8.0","0.3","538"
"2006","Jason Smith","Rockies","49","108","5","9","13","3","6.5 %","26.9 %",".162",".323",".263",".324",".424",".323","82","1.0","-1.6","1.4","0.3","1227"
"2005","Laynce Nix","Rangers","63","240","6","28","32","2","3.8 %","18.8 %",".157",".272",".240",".267",".397",".280","62","3.0","-8.0","3.1","0.3","1766"
"2009","Matt Stairs","Phillies","99","129","5","15","17","0","17.8 %","23.3 %",".184",".221",".194",".357",".379",".328","96","-0.1","-0.7","-0.2","0.3","1384"
"2003","Eric Munson","Tigers","99","357","18","28","50","3","9.8 %","17.1 %",".201",".237",".240",".312",".441",".323","98","0.7","-0.1","-8.9","0.3","481"
"2002","Richard Hidalgo","Astros","114","439","15","54","48","6","9.8 %","19.4 %",".180",".262",".235",".319",".415",".322","90","-3.2","-8.6","-2.4","0.3","561"
"2007","Ben Francisco","Indians","25","66","3","10","12","0","4.5 %","28.8 %",".226",".341",".274",".303",".500",".340","107","-2.3","-1.7","2.8","0.3","4677"
"2004","Chris Gomez","Blue Jays","109","377","3","41","37","3","7.4 %","10.9 %",".065",".310",".282",".337",".346",".306","79","1.3","-8.9","-0.6","0.3","1208"
"2001","Randy Winn","Devil Rays","128","480","6","54","50","12","7.9 %","16.9 %",".128",".323",".273",".339",".401",".325","97","-2.0","-3.7","-9.4","0.3","1235"
"2008","T.J. Bohn","Phillies","14","5","0","1","3","0","0.0 %","20.0 %",".200",".500",".400",".400",".600",".431","162","-0.2","0.2","2.9","0.3","4592"
"2007","Jeff Clement","Mariners","9","19","2","4","3","0","15.8 %","15.8 %",".438",".364",".375",".474",".813",".530","235","-0.1","3.1","-0.4","0.3","4652"
"2000","Ben Petrick","Rockies","52","173","3","32","20","1","11.6 %","19.1 %",".144",".386",".322",".401",".466",".377","98","-0.7","-1.2","-0.8","0.3","1471"
"2001","Wendell Magee","Tigers","90","233","5","26","17","3","9.9 %","18.9 %",".164",".245",".213",".293",".377",".291","78","0.6","-5.9","1.1","0.3","477"
"2003","Bobby Estalella","Rockies","46","165","7","17","21","2","11.5 %","33.3 %",".200",".259",".200",".294",".400",".303","65","1.1","-6.4","4.2","0.3","428"
"2008","Rocco Baldelli","Rays","28","90","4","12","13","0","7.8 %","27.8 %",".213",".333",".263",".344",".475",".359","121","0.5","2.9","-2.7","0.3","1656"
"2001","Mike Lieberthal","Phillies","34","136","2","21","11","0","8.8 %","15.4 %",".116",".265",".231",".316",".347",".292","74","0.0","-4.6","3.4","0.3","959"
"2003","Denny Hocking","Twins","83","209","3","22","22","0","7.2 %","17.7 %",".122",".278",".239",".291",".362",".286","69","-0.2","-8.2","4.2","0.3","730"
"2009","Taylor Teagarden","Rangers","60","218","6","26","24","0","6.4 %","34.9 %",".157",".314",".217",".270",".374",".282","60","-0.2","-11.1","6.9","0.3","5199"
"2005","Robert Fick","Padres","93","260","3","25","30","0","10.0 %","12.7 %",".100",".296",".265",".340",".365",".312","94","-0.9","-2.8","-2.5","0.3","466"
"2007","Raul Casanova","Devil Rays","29","89","6","12","11","0","7.9 %","19.1 %",".266",".241",".253",".315",".519",".348","111","-1.4","-0.2","0.3","0.3","680"
"2001","Tim Bogar","Dodgers","12","17","2","4","2","0","11.8 %","5.9 %",".533",".250",".333",".412",".867",".514","222","0.0","2.7","0.0","0.3","1001120"
"2007","Jeff Mathis","Angels","59","195","4","24","23","0","7.7 %","25.1 %",".140",".262",".211",".276",".351",".277","63","0.6","-8.5","5.0","0.3","3448"
"2006","Ryan Garko","Indians","50","209","7","28","45","0","6.7 %","17.7 %",".178",".326",".292",".359",".470",".358","116","-2.2","2.1","-6.0","0.3","6319"
"2007","Steve Pearce","Pirates","23","73","0","13","6","2","6.8 %","16.4 %",".103",".357",".294",".342",".397",".328","94","0.0","-0.5","1.4","0.3","9957"
"2008","Jeff Kent","Dodgers","121","474","12","42","59","0","5.3 %","11.0 %",".139",".294",".280",".327",".418",".328","98","-2.0","-3.5","-8.7","0.3","1119"
"2009","Eric Patterson","Athletics","39","110","1","15","11","6","12.7 %","22.7 %",".106",".371",".287",".373",".394",".343","108","3.0","4.1","-4.7","0.3","9072"
"2004","Terry Tiffee","Twins","17","48","2","7","8","0","6.3 %","6.3 %",".227",".256",".273",".333",".500",".357","115","0.5","1.4","0.2","0.3","2160"
"2007","Sammy Sosa","Rangers","114","454","21","53","92","0","7.5 %","24.7 %",".216",".292",".252",".311",".468",".332","96","-0.8","-2.8","-9.7","0.3","302"
"2001","Lou Collier","Brewers","50","148","2","19","14","5","11.5 %","20.3 %",".126",".309",".252",".340",".378",".318","89","0.6","-1.6","-0.1","0.3","1438"
"2006","Mike Sweeney","Royals","60","252","8","23","33","2","11.1 %","19.0 %",".180",".293",".258",".349",".438",".336","100","0.8","0.9","-6.4","0.3","634"
"2004","Chris Magruder","Brewers","56","101","2","11","10","0","7.9 %","20.8 %",".157",".284",".236",".310",".393",".300","76","-1.0","-4.0","3.8","0.3","392"
"2007","Adam Lind","Blue Jays","89","311","11","34","46","1","5.1 %","20.9 %",".162",".269",".238",".278",".400",".295","75","-0.8","-10.6","3.0","0.3","8027"
"2006","Marco Scutaro","Athletics","117","423","5","52","41","5","11.8 %","15.6 %",".132",".308",".266",".350",".397",".330","98","-4.2","-5.2","-6.3","0.3","1555"
"2008","Brian Buscher","Twins","70","245","4","29","47","0","7.8 %","17.1 %",".096",".335",".294",".340",".390",".322","95","-0.7","-2.2","-3.0","0.3","6234"
"2000","Chuck Knoblauch","Yankees","102","457","5","75","26","15","10.1 %","9.8 %",".103",".307",".283",".366",".385",".340","98","-0.2","-1.3","-11.0","0.3","609"
"2008","Juan Uribe","White Sox","110","353","7","38","40","1","6.2 %","18.1 %",".139",".287",".247",".296",".386",".301","75","-0.4","-11.1","2.1","0.3","454"
"2006","Humberto Quintero","Astros","11","22","0","2","2","0","4.5 %","13.6 %",".095",".389",".333",".364",".429",".347","107","-0.2","0.0","2.5","0.3","1824"
"2003","Jhonny Peralta","Indians","77","270","4","24","21","1","7.4 %","24.1 %",".099",".291",".227",".295",".326",".279","67","-1.6","-12.6","6.5","0.3","1738"
"2009","Bengie Molina","Giants","132","520","20","52","80","0","2.5 %","13.1 %",".177",".266",".265",".285",".442",".308","86","-7.1","-16.2","2.6","0.3","24"
"2007","Ross Gload","Royals","102","346","7","37","51","2","4.6 %","11.3 %",".153",".301",".288",".318",".441",".324","92","-3.0","-6.3","-2.5","0.3","1538"
"2004","Jose Offerman","Twins","77","202","2","22","22","1","14.4 %","15.3 %",".140",".302",".256",".363",".395",".335","100","0.2","0.3","-4.0","0.3","205"
"2006","Mike Rivera","Brewers","46","158","6","16","24","0","6.3 %","13.3 %",".190",".274",".268",".325",".458",".324","91","-0.2","-2.1","0.0","0.3","493"
"2006","Andy Marte","Indians","50","178","5","20","23","0","7.3 %","21.3 %",".195",".264",".226",".287",".421",".304","80","-1.4","-6.0","3.0","0.3","3203"
"2000","Tomas de la Rosa","Expos","32","77","2","7","9","2","9.1 %","14.3 %",".167",".321",".288",".365",".455",".361","109","0.0","0.9","-0.1","0.3","7227"
"2006","Daryle Ward","- - -","98","150","7","17","26","0","10.0 %","18.0 %",".238",".333",".308",".380",".546",".390","137","-1.7","5.6","-7.4","0.3","579"
"2004","John Buck","Royals","71","258","12","36","30","1","5.8 %","30.6 %",".189",".297",".235",".280",".424",".302","74","-1.6","-10.3","4.6","0.3","2041"
"2001","Jeff Liefer","White Sox","83","279","18","36","39","0","7.2 %","24.7 %",".264",".278",".256",".313",".520",".350","112","-0.4","3.9","-10.3","0.3","245"
"2001","Jason Kendall","Pirates","157","672","10","84","53","13","6.5 %","7.1 %",".092",".275",".266",".335",".358",".308","82","-3.5","-19.0","0.3","0.3","993"
"2006","Phil Nevin","- - -","129","450","22","54","68","0","10.7 %","23.6 %",".199",".269",".239",".323",".438",".330","92","-0.4","-5.0","-7.3","0.3","1049"
"2002","Carlos Pena","- - -","115","443","19","43","52","2","9.3 %","25.1 %",".207",".286",".242",".316",".448",".332","104","1.7","4.2","-16.1","0.3","934"
"2004","Yorvit Torrealba","Giants","64","196","6","19","23","2","8.7 %","15.8 %",".180",".243",".227",".302",".407",".302","79","-0.9","-6.2","2.7","0.3","1135"
"2003","Chris Woodward","Blue Jays","104","386","7","49","45","1","7.3 %","18.7 %",".135",".304",".261",".316",".395",".311","84","-0.4","-8.4","-1.8","0.3","1329"
"2006","Brandon Fahey","Orioles","91","286","2","36","23","3","8.0 %","16.8 %",".072",".284",".235",".307",".307",".279","62","3.6","-10.6","3.8","0.3","4746"
"2007","D'Angelo Jimenez","Nationals","73","128","2","14","10","2","16.4 %","17.2 %",".127",".295",".245",".379",".373",".345","108","-2.6","-1.2","0.1","0.3","1038"
"2001","Brady Clark","Reds","89","157","6","22","18","4","14.0 %","10.2 %",".163",".259",".264",".373",".426",".351","108","0.4","2.0","-4.0","0.3","1398"
"2003","Craig Counsell","Diamondbacks","89","351","3","40","21","11","11.7 %","9.1 %",".069",".252",".234",".328",".304",".291","66","-2.3","-17.5","9.1","0.3","52"
"2004","Jason Ellison","Giants","13","4","1","4","3","2","0.0 %","25.0 %",".750",".500",".500",".500","1.250",".718","353","0.6","1.9","1.1","0.3","1704"
"2006","Jeff Keppinger","Royals","22","67","2","11","8","0","7.5 %","9.0 %",".133",".269",".267",".323",".400",".311","84","0.1","-1.3","2.1","0.3","3856"
"2009","Luis Durango","Padres","9","14","0","3","0","2","14.3 %","14.3 %",".000",".667",".545",".615",".545",".522","236","0.3","2.6","0.0","0.3","6533"
"2004","Joe McEwing","Mets","75","154","1","17","16","4","5.8 %","20.8 %",".058",".321",".254",".297",".312",".261","53","1.8","-7.5","5.4","0.3","887"
"2009","Mike Fontenot","Cubs","135","419","9","38","43","4","8.4 %","19.8 %",".141",".276",".236",".301",".377",".295","71","0.4","-14.5","4.1","0.3","3912"
"2000","John Barnes","Twins","11","41","0","5","2","0","4.9 %","14.6 %",".108",".419",".351",".415",".459",".391","127","-0.5","1.0","0.6","0.3","1000567"
"2003","Tom Goodwin","Cubs","87","184","1","26","12","19","6.0 %","17.9 %",".076",".348",".287",".328",".363",".307","82","3.4","-0.8","-2.2","0.3","1114"
"2008","Matt Tolbert","Twins","41","123","0","18","6","7","5.7 %","15.4 %",".106",".337",".283",".322",".389",".313","89","1.7","0.0","-1.3","0.3","7365"
"2008","Travis Denker","Giants","24","42","1","6","3","0","11.9 %","23.8 %",".243",".308",".243",".333",".486",".354","113","0.5","1.2","0.4","0.3","6155"
"2006","Angel Pagan","Cubs","77","187","5","28","18","4","8.0 %","15.0 %",".147",".268",".247",".306",".394",".306","75","1.5","-4.5","1.3","0.3","2918"
"2004","Toby Hall","Devil Rays","119","441","8","35","60","0","5.4 %","9.3 %",".111",".262",".255",".300",".366",".291","72","-6.9","-22.7","10.7","0.3","1210"
"2004","Dallas McPherson","Angels","16","43","3","5","6","1","7.0 %","39.5 %",".250",".300",".225",".279",".475",".320","94","0.2","-0.1","1.7","0.3","2194"
"2005","Felix Escalona","Yankees","10","17","0","0","2","0","5.9 %","23.5 %",".071",".400",".286",".375",".357",".335","105","-0.2","-0.1","2.4","0.3","1204"
"2003","Roberto Alomar","- - -","140","598","5","76","39","12","9.9 %","12.9 %",".091",".290",".258",".333",".349",".304","81","0.3","-14.0","-3.2","0.3","860"
"2006","Tommy Murphy","Angels","48","77","1","12","6","4","6.5 %","27.3 %",".129",".306",".229",".276",".357",".275","61","1.2","-2.6","3.0","0.3","3105"
"2001","Paul Bako","Braves","61","157","2","19","15","1","12.7 %","21.7 %",".131",".267",".212",".312",".343",".289","72","0.2","-5.6","3.4","0.3","676"
"2007","Chris Iannetta","Rockies","67","234","4","22","27","0","12.4 %","24.8 %",".132",".285",".218",".330",".350",".305","71","-0.1","-9.0","4.3","0.3","8267"
"2008","Javier Valentin","Reds","94","144","4","10","18","0","9.7 %","18.8 %",".155",".293",".256",".326",".411",".326","92","0.4","-1.1","-0.7","0.3","759"
"2003","Bobby Kielty","- - -","137","509","13","71","57","8","13.9 %","18.1 %",".157",".279",".244",".358",".400",".334","100","0.1","0.4","-15.0","0.3","736"
